Team,Region,Future use,Requieres realease?,Future containment,"In case of release, would the organism or parts spread autonomously?",Containment measures,Answer on question 16,Project goal
ABSI_Kenya,Africa,"Natural environment,Biosensor,Cell-Free",No,Partially Contained,No-no-organisms,Double terminator sequence,"No, because we will introduce a double terminator sequence gene where by when used it can no longer be reused.",Paper-based biosensor
AFCM-Egypt,Africa,Human body or food,No,Open release ,NEI,NEI,Not applicable.,Generation of different inmunotherapeutic agents
AHUT-China,Asia,Human body or food,No,Open release ,No-unable,None,"The probiotics we used will not autonomously spread into the the environment, and they will be properly sterilized before release.",Bacteria that recognize breast cancer and produce fusion proteins
 AISSU_Union,Asia,Consumer product,No,Partially Contained,No-unable,Reduced survivality,"When our yeast ends up being a food, it's possible to spread out into the environment during food producing, but flavanol expression does not allow engineered yeast to win over when competing with wild microbes, much worse, it will even aggravate it. So genetically modified organisms can hardly survive in nature.Considering the safety concerns, our project will be only limited in the production of flavanols in the laboratory and looks forward to only the fermentation extraction being as food additives. Therefore the growth environment is more controlled to avoid the release.",Production of plant molecules 
ASIJ_Tokyo,Asia,"Consumer product,Small enclosed device,Biosensor,Cell-Free",No,Partially Contained,No-no-organisms,None,No organisms would be released. It would only be the protein and apatamer.,Cancer detection test
ASTWS-China,Asia,In a factory,No,Partially Contained,NEI,None,No,Degradation of microplastics
Beijing_United,Asia,In a factory,No,Fully Contained,NEI,None,We do not include kill switches or auxotrophy into our proeduct. ,"Degradation and utilziation of ""pentosan"" to rpduce alcohol"
BHSF,Asia,Only lab,No,Fully Contained,NEI,None,No.,Production of carminic acid.
BIT,Asia,Consumer product,No,NEI,No-unable,None,No.They can not live in ordinary enviroment.,Detection of miRNA.
BIT-China,Asia,"Foundational,In a factory,Small enclosed device,Other,Biosensor",Yes,NEI,No-unable,None,No engineered organisms or parts will spread autonomously in the environment.,Biosensor for sweetness and bitterness.
BJ101ID,Asia,In a factory,No,Fully Contained,NEI,None,"No, we only use the outcome of our bacteria.","E.coli to automatically recycle papers, especially do the deink process and  improve the tenacity of old paper."
BJEA_China,Asia,In a factory,No,Fully Contained,NEI,None,No.,Improve enzymes to degradate PET.
BJU_China,Asia,In a factory,No,Fully Contained,NEI,None,No,Production of dyes.
BNDS_China,Asia,"In a factory,Other",No,Fully Contained,NEI,None,No.,Production of rhamnolipids.
BNU-China,Asia,In a factory,No,Fully Contained,No-contained,Killswitch,"Our bacteria will be used in industrial production. It has a blue-light sensing suicide switch. In fermentation cylinder, there is no blue light; however, once the bacteria are leaked into the environment, the switch will be turned on by light and induce its suicide.",Selection mechanism for industrial production?
BNUZ-China,Asia,"Foundational,Only lab,Human body or food",No,NEI,No-unable,None,"NO.Our engineered E.coli, which we decide to knock the Can gene, can't live if it is out of the body. The Can gene of E.coli encodes for carbonic anhydrase (CA), an enzyme that assists rapid interconversion of carbon dioxide and water into carbonic acid, protons, and bicarbonate ions. E.coli requires a constant supply of bicarbonate as a metabolic substrate during normal growth. So, if this gene is knocked out, E. coli is unable to turn the carbon dioxide into bicarbonate fast enough before the carbon dioxide diffuses out and causes cell death. Inside the gut, where we want the E.coli to survive, the carbon dioxide concentration is high enough (ranging from 5% to 29%) to allow the spontaneous conversion of carbon dioxide into bicarbonate ions. However, when E.coli exits the human body, the lowered concentration of carbon dioxide will result in its death.",help fight chronic kidney disease
BS_United_China,Asia,"Small enclosed device,Biosensor",Yes,Partially Contained,NEI,None,"No, it will not",Portable food pathogen sensor
BUCT,Asia,"In a factory,Consumer product,Human body or food",Yes,NEI,No-unable,NEI,"It is impossible to distribute in the environment. One is that we will start with suicide genes or reproduction, and curb their means of reproduction. Second, it is difficult for the organism to obtain available nutrients in the environment, and it is difficult for it to survive.",Fatty acid degradating bacteria
BUCT-China,Asia,In a factory,No,Fully Contained,NEI,None,"The engineered organisms used in the project is very sensitive to the light, and can be easily eliminated by UV. ",Cultured meat production.
CAU_China,Asia,"In a factory,Consumer product,Agriculture,Natural environment",Yes,Open release ,No-contained,Killswitch,"When C.glutamicum completes its mission of improving the land, it no longer needs to exist in soil in view of biosafety. We apply a composite kill switch to handle this which involves a salt-induced promoter and an alkali-induced promoter. Only can the kill switch be turned on when both the ionic strength and pH of the soil decrease to an expected level, resulting in the death of the engineered bacteria. Hence, in normal environmental conditions, our engineered bacterium have no possibility to survive outside lab and saline-alkaline soil. Furthermore, because our design that the target fragment was integrated into the genome by two homologous recombination, our bacteria have no restriction to any of known antibiotics and no antibiotics will be put into the envronment.",Remediation of alkalinized soil. 
CCU_Taiwan,Asia,"Consumer product,Cell-Free",Yes,Fully Contained,No-no-organisms,None,"Our products are proteins and peptides, so we won't have this problem.",Destruction of intra and extracelullar superbugs in wounds.
CHINA-FAFU,Asia,"In a factory,Consumer product,Natural environment,Human body or food",No,Ambiguous,Ambiguous,None,"The material we use is Phaeodactylum tricornutum, which can only live in the seawater environment, while there is only fresh water on the land. Phaeodactylum tricornutum can hardly survive in this environment. Moreover, when dealing with experimental algae, we usually choose high temperature to kill algae to ensure safety, so algae will not enter the natural environment.","Over-expressesion of the  genes VCT2, UGP, APX1, DHAR related to VC anabolism in yeast."
CityU_HK,Asia,In a factory,No,Fully Contained,No-unable,None,The fungal host used in this experiment is auxotrophic to several essential amino acid. They would not survive in the natural environment. ,Production of variecolin analogs.
CKWA-China,Asia,"Consumer product,Human body or food",Yes,Fully Contained,No-no-organisms,None,"No. The E. coli. will stay in the labs and factory, and only the protease will be extracted. Safety from parts spread can be avoided by following safety protocols during transportation and experimentation.",Production of an important cancer fighting protein.
